Generation, Score of model 0, Average, Score retained
1, 0.3781394064426422, 0.3781394064426422, 0.3781394064426422
2, 0.3888721764087677, 0.3888721764087677, 0.3781394064426422
3, 0.9077313542366028, 0.9077313542366028, 0.3781394064426422
4, 0.370287150144577, 0.370287150144577, 0.370287150144577
5, 0.5002679824829102, 0.5002679824829102, 0.370287150144577
6, 0.6143749952316284, 0.6143749952316284, 0.370287150144577
7, 0.5655952095985413, 0.5655952095985413, 0.370287150144577
8, 0.6843301653862, 0.6843301653862, 0.370287150144577
9, 0.3675459623336792, 0.3675459623336792, 0.3675459623336792
10, 0.4686170816421509, 0.4686170816421509, 0.3675459623336792
11, 0.22620654106140137, 0.22620654106140137, 0.22620654106140137
12, 0.4455832540988922, 0.4455832540988922, 0.22620654106140137
13, 0.3877519369125366, 0.3877519369125366, 0.22620654106140137
14, 0.3215504586696625, 0.3215504586696625, 0.22620654106140137
15, 0.3616429567337036, 0.3616429567337036, 0.22620654106140137
16, 0.233530193567276, 0.233530193567276, 0.22620654106140137
